id,name,category,description,price,stock,image,Whatsapp buy link
1,Wireless Mouse,Computer,Ergonomic wireless mouse,2500,10,https://via.placeholder.com/150,
2,Gaming Keyboard,Computer,RGB mechanical keyboard,12000,5,https://via.placeholder.com/150,
3,USB-C Charger,Phone,Fast charging USB-C,4000,8,https://via.placeholder.com/150,
4,Phone Case,Phone,Shockproof phone case,1500,12,https://via.placeholder.com/150,
5,Laptop Stand,Computer,Adjustable laptop stand,7000,6,https://via.placeholder.com/150,
6,Wireless Earbuds,Phone,High-quality Bluetooth earbuds,8000,15,https://via.placeholder.com/150,
7,HDMI Cable,Computer,2-meter HDMI cable,1500,20,https://via.placeholder.com/150,
8,Laptop Backpack,Computer,Waterproof laptop backpack,9000,7,https://via.placeholder.com/150,
9,Screen Protector,Phone,Tempered glass screen protector,800,25,https://via.placeholder.com/150,
10,Webcam,Computer,1080p HD webcam,5000,10,https://via.placeholder.com/150,
11,Portable Charger,Phone,10000mAh power bank,6000,12,https://via.placeholder.com/150,
12,USB Hub,Computer,4-port USB 3.0 hub,3500,8,https://via.placeholder.com/150,
13,Phone Holder,Phone,Adjustable phone stand,1200,18,https://via.placeholder.com/150,
14,Wireless Keyboard,Computer,Compact wireless keyboard,7500,6,https://via.placeholder.com/150,
15,Phone Ring Light,Phone,Clip-on LED ring light,2500,10,https://via.placeholder.com/150,
